S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Winner Votes %,Runner Up Candidate,Runner Up Party,Runner Up Votes,Runner Up %,Margin,Valid Votes,Electors,Poll%
28,GEN,ERAVIPURAM,R. S. UNNI,RSP,35631,62.53,KAIKARA SHAMSU DEEN,SOP,17129,30.06,18502,56981,79060,72.07310903
29,GEN,ERNAKULAM,A. L. JACOB,INC,27159,49.34,M. M. LAWRENCE,CPM,22117,40.18,5042,55043,80766,68.15120224
30,GEN,ETTUMANDOR,P. B. R. PILLAI,SOP,23171,41.01,M. M. JOSEPH,KEC,18130,32.09,5041,56504,72038,78.4363808
31,GEN,GURUYAYUR,V. VADAKKAN,IND,26036,46.74,B. V. SEETHI THANGAL,MUL,20987,37.68,5049,55699,70454,79.05725722
32,GEN,HOSDRUG,N. K. BALAKRISHNAN,PSP,29568,48.01,K. V. MOHANLAL,SOP,22224,36.09,7344,61585,82021,75.0844296
33,GEN,I,K. PANKAJAKSHAN,RSP,33823,59.15,PERUMTHAN SOMRON NAIR,CPM,18104,31.66,15719,57181,90925,62.88809458
34,GEN,IRIKKUR,A. KUNHIKANNAN,CPM,28766,48.68,T. LOHITHAKSHAN,RSP,27098,45.85,1668,59096,77233,76.51651496
35,GEN,IRINJALAKUDA,C. S. GANGADHARAN,KSP,25543,44.97,C. K. RAJAN,CPI,17729,31.21,7814,56805,75186,75.55262948
36,GEN,KADUTHURUTHY,O. LUKOSE,KEC,22927,41.45,K. K. JOSEPH,CPM,20555,37.17,2372,55307,68391,80.86882777
37,GEN,KALLOOPPARA,T. S. JOHN,KEC,17894,36.12,N. T. GEORGE,CPM,15431,31.15,2463,49536,64806,76.43736691
38,GEN,KALPETTA,P. CYRIAC JOHN,INC,29950,54.61,K. K. ABOO,SOP,19509,35.58,10441,54839,80831,67.84402024
39,GEN,KANJIRAPPALLY,KURIAN K. V.,KEC,22307,40.87,RAMACHANDRAN M. G.,CPM,20700,37.92,1607,54585,72825,74.95365602
40,GEN,KARIMANNYOR,A. C. CHACKO,KEC,17689,37.02,G. P. KRISHNAPILLAI,RSP,13077,27.37,4612,47776,68442,69.80509044
41,GEN,KARUNAGAPALLY,BABY JOHN,RSP,36681,57.63,SAMBA SIVAN,IND,24105,37.87,12576,63654,77637,81.9892577
42,GEN,KASARGOD,B. M. ABDUL RAHIMAN,IND,27113,45.26,K. P. BALLAKURAYA,IND,18736,31.27,8377,59911,76165,78.65948927
43,GEN,KAYAMKULAM,T. KUNUKRISHNA PILLAI,INC,32278,53.54,P. R. BASU,CPM,28012,46.46,4266,60290,72848,82.76136613
44,GEN,KAZHAKUTTAM,P. NEELAKANTAN,SOP,23425,45.16,A. ESSUDDIN,MUL,23314,44.94,111,51875,82271,63.05380997
45,GEN,KILIMANOOR,P. K. CHANTHAN,CPI,29425,56.82,C. K. BALAKRISHNAN,CPM,21274,41.08,8151,51784,79051,65.50707771
46,GEN,KODAKARA,C. ACHUTHA MENON,CPI,23926,44.87,N. V. SREEDHARAN,SOP,20775,38.96,3151,53327,71752,74.32127327
47,GEN,KOLLENGODE,C. VASUDEVA MENON,CPM,29826,55.22,K. A. CHANDRAN,NCO,16357,30.28,13469,54014,78224,69.05041931
48,GEN,KONDOTIY,C H MD KOYA HAJI,MUL,40208,61.28,MOOSA HAJI,IND,22612,34.46,17596,65613,85710,76.55232762
49,GEN,KONNI,P. J. THOMAS,INC,30027,56.01,R. C. UNNITHAN,CPM,23581,43.99,6446,53608,68416,78.35594013
50,GEN,KOTHAMANGALAM,M. I. MANKOSE,IND,22930,38.71,T. M. MEETHIAN,CPM,21603,36.47,1327,59228,72727,81.4388054
51,GEN,KOTTARAKARA,KOTTARA GOPALAKRISHNAN,INC,32536,50.1,R. BALAKRISHNAN PILLAI,KEC,27859,42.9,4677,64943,81400,79.78255528
52,GEN,KOTTAYAM,M. THOMAS,CPM,26147,49.81,K. GEORGE THOMAS,NCO,14190,27.03,11957,52494,69324,75.72269344
53,GEN,KOVALAM,M. KUNJ KRISHNA NADAR,IND,16747,36.7,P. FAKIR KHAN,CPM,14618,32.04,2129,45626,61193,74.56081578
54,GEN,KRISHNAPURAM,P. UNNIKRISHNAN PILLAI,CPI,33679,58.34,P. A. HARRIZ,ISP,24052,41.66,9627,57731,69832,82.67126819
55,GEN,KUNDARA,A. A. RAHIM,INC,36043,54.11,STANUDEVAN,CPM,21827,32.77,14216,66616,85439,77.96907735
56,GEN,KUNNAMANGALAM,P. V. S. M. POOKOYA THANGAL,MUL,35599,57.96,KUTTY KRISHAN NAIRIR,ISP,23945,38.98,11654,61424,80038,76.74354682
57,GEN,KUNNAMKULAM,T. K. KRISHNAN,CPM,31767,49.63,K. P. VISHWANATHAN,INC,27439,42.87,4328,64007,84152,76.06117502
58,SC,KUNNATHUNAD,T. A. PARAMAN,RSP,29940,49.66,M. K. KRISHNAN,CPM,26063,43.23,3877,60290,79245,76.08050981
59,SC,KUNNATHUR,SATHYAPALAN,RSP,29008,52.27,ONAMPLAM PRABHAKARAN,IND,17528,31.58,11480,55495,75961,73.05722673
60,GEN,KUTHUPARAMBA,PINARAYI VIJAYAN,CPM,28281,46.72,THAYATH RAGHAVAN,PSP,27538,45.49,743,60538,80561,75.14554189
61,GEN,KUTTANAD,THALAVADY OOMMEN,SOP,27372,47.52,THOMAS JOHN,KEC,21866,37.96,5506,57606,74663,77.1546817
62,GEN,KUTTIPPURAM,CHAKKERI AHAMMED KUTTY,MUL,30081,55.76,M. HABEEBURAHIMAN,IND,23870,44.24,6211,53951,76458,70.56292344
63,SC,KUZHALMANNAM,P. KUNHAN,CPM,31784,60.53,K. CHANDRASEKHARASASTRY,RSP,16230,30.91,15554,52508,80104,65.54978528
64,GEN,MADAYI,M. V. RAGHAVAN,CPM,31932,51.38,P. SREEDHARAN,INC,24151,38.86,7781,62153,79857,77.83037179
65,GEN,MALA,K. KARUNAKARAN,INC,30364,59.14,VARGHESE MECHERY,IND,19311,37.61,11053,51342,67814,75.71003038
66,GEN,MALAMPUZHA,V. KRISHNADAS,CPM,38358,67.46,C. M. UNDARAM,IND,18505,32.54,19853,56863,81446,69.81681114
67,GEN,MALAPPURAM,U. A. BEERAN,MUL,39682,63.94,V. T. N. KUTTY NAIR,IND,22379,36.06,17303,62061,84328,73.59477279
68,GEN,MANALUR,N. I. DEVASSYKUTTY,INC,37463,59.04,A. V. ARYAN,CPM,25992,40.96,11471,63455,75748,83.77118868
69,SC,MANJERI,K. P. RAMAN,MUL,23882,56.61,O. KOWAN,ISP,17190,40.75,6692,42188,43790,96.34163051
70,GEN,MANJESHWAR,M. RAMAPPA,CPI,18686,37.51,U. P. KUNIKULLAYA,IND,17491,35.11,1195,49811,73124,68.11853837
71,GEN,MANKADA,M. MOIDEEN KUTTY,MUL,30779,55.74,PALOLI MAHAMMED KUTTY,CPM,24438,44.26,6341,55217,75314,73.31571819
72,GEN,MANNARGHAT,JOHN MANFORAN,CPM,23633,49.13,KRISHNAN,CPI,19802,41.16,3831,48105,79907,60.20123393
73,GEN,MARARIKULAM,S. DAMODARAN,CPM,37753,55.44,N. S. P. PANICKER,RSP,30346,44.56,7407,68099,81705,83.34740836
74,GEN,MARIPAD,C. B. C. WARRIER,CPM,30562,45.42,THACHADY PRABHAKARAN,INC,23720,35.25,6842,67289,80823,83.25476659
75,GEN,MATTANCHERRY,K. J. HERSEHAL,IND,38580,68.84,M. P. MOHAMED JAFFARKHAN,MUL,17460,31.16,21120,56040,77644,72.17557055
76,GEN,MAVELIKARA,GOPINATHA PILLAI,ISP,24907,41.36,P. KRISHMA PILLAI,PSP,22395,37.19,2512,60221,78438,76.77528749
77,GEN,MEPPAYUR,A. V. ABDURAHIMAN,MUL,30759,48.99,M. K. KELU,CPM,28408,45.25,2351,62785,74597,84.16558307
78,GEN,MUVATTUPUZHA,PENNAMMA JACOB,IND,20651,37.35,P. V. ABRAHAM,CPI,18527,33.51,2124,55290,73786,74.9329141
79,GEN,NADAPURAM,M. KUMARAN MASTER,CPI,34761,51.24,E. V. KUMARAN,CPM,30559,45.05,4202,67841,80849,83.9107472
80,GEN,NADUMANGAD,K. G. KUNJUKRISHNA PILLAI,CPI,21548,49.34,V. SAHADEVAN,IND,17786,40.72,3762,43675,66546,65.63129264
81,GEN,NARAKAL,M. K. RAGHAVAN,INC,27973,47.61,A. S. PURUSHOTHAMAN,CPM,27237,46.36,736,58751,67917,86.50411532
82,GEN,NATTIKA,V. K. GOPINATHAN,SOP,28080,45.17,K. S. NAIR,CPI,26352,42.39,1728,62170,75018,82.87344371
83,GEN,NEMOM,G. KUTTAPAN,PSP,29800,59.9,M. SADASIVAN,CPM,17701,35.58,12099,49752,72352,68.76382132
84,GEN,NEYYATTINKARA,R. PARA MESWARAN PILLAI,CPM,23406,42.57,R. JANARDHANAN NAIR,CPI,16514,30.04,6892,54978,76216,72.13445996
85,GEN,NILAMBUR,M. P. GANGADHARAN,INC,26798,51.08,P. V. KUNHIKANNAN,CPM,23987,45.72,2811,52467,85467,61.38860613
86,GEN,NILESWAR,V. V. KUNHAMBU,CPM,34719,54.19,A. P. ABDULLA,MUL,29348,45.81,5371,64067,86485,74.07874198
87,ST,NORTH WYNAD,M. V. RAJAN,INC,26301,54.22,M. KARIYAN,IND,15888,32.76,10413,48504,76257,63.60596404
88,GEN,OLLUR,R. R. FRANCIS,INC,31845,49.61,M. A. KARTHIKEYAN,CPM,29406,45.81,2439,64185,81089,79.15376932
89,GEN,OTTAPALAM,P. P. KRISHNAN,CPM,22056,48.57,LEELA DAMODARA MENON,INC,19817,43.64,2239,45408,75669,60.0087222
90,GEN,PALAI,K. M. MANI,KEC,23350,41.35,M. M. JACOB,INC,22986,40.71,364,56469,71174,79.3393655
91,GEN,PALGHAT,R. KRISHNAN,CPM,23113,40.5,A. CHANDRAN NAIR,IND,17653,30.93,5460,57068,83098,68.67553972
92,GEN,PALLURUTHY,B. WELLINGDAN,IND,33449,54.63,M. A. SAROJINI,PSP,24934,40.72,8515,61229,75891,80.68018606
93,SC,PANDALAM,DAMODARAN KALASSERY,INC,35369,53.81,C. VELUTHA KUNJU,CPM,28261,42.99,7108,65731,80400,81.75497512
94,GEN,PARASSALA,M. SATHYANESAN,CPM,20512,41.46,N. SUNDRAM NADAR,INC,16231,32.81,4281,49472,71309,69.37693699
95,GEN,PARUR,K. T. GEORGE,INC,28104,48.4,P. GANGADHARAN,CPM,26155,45.05,1949,58062,71256,81.48366453
96,GEN,PATHANAMTHITTA,K. K. NAIR,IND,25635,41.77,VAYALA IDICULA,KEC,24908,40.58,727,61374,76060,80.6915593
97,SC,PATHANAPURAM,P. K. RAGHAVA,CPI,24654,54.31,P. K. KUNJACHAN,CPM,17002,37.45,7652,45398,66561,68.20510509
98,GEN,PATTAMBI,E. M. S. NAMBUDRIPAD,CPM,27851,51.05,E. R. GOPALON,CPI,24419,44.76,3432,54561,75897,71.88821693
99,GEN,PAYYANNUR,A. V. KUNHAMBU,CPM,32499,52.18,V. P. NARAYANA PODUVAL,INC,24878,39.94,7621,62287,83553,74.54789176
100,SC,PEERMADE,K. I. RAJAN,CPM,13896,29.9,CHOLLAMUTHU THANGAMUTHU,CPI,13013,28,883,46481,78722,59.04448566
101,GEN,PERAMBRA,K.G. ADYOSI,INC,35383,51.71,V. V. DAKSHINAMORTHY,CPM,31304,45.75,4079,68426,83797,81.65686122
102,GEN,PERINGALAM,SOOPI K. M.,ISP,34003,57.09,V. ASHOKAN,INC,25559,42.91,8444,59562,79562,74.86237148
103,GEN,PERINTALMANNA,K. S. THANGAL,MUL,28436,54.37,E. K. IMBICHI BAVA,CPM,23865,45.63,4571,52301,74582,70.12549945
104,GEN,PERUMBAVOOR,P. I. POULOSE,INC,28682,50.52,P. K. GOPALAN NAIR,CPM,24241,42.7,4441,56771,71047,79.90625924
105,GEN,PONNANI,HAJEE M. V. HYDROS,IND,31329,50.42,V. P. CHERUKOYATHANGAL,MUL,27207,43.78,4122,62140,83027,74.84312332
106,GEN,POONJAR,K. M. GEORGE,KEC,26181,54.68,V. T. THOMAS,IND,14042,29.33,12139,47879,65422,73.18486136
107,GEN,PUNALOOR,K. KRISHNA PILLAI,CPI,25407,49.04,V. BHARATHAN,CPM,21981,42.43,3426,51804,68608,75.50722948
108,GEN,PUTHUPALLY,OOMMEN CHANDY,IND,29784,54.55,E. M. GEORGE,CPM,22496,41.2,7288,54599,69651,78.38939857
109,GEN,QUILANDY,E. NARAYANAN NAIR,INC,37023,52.58,P. K. APPAJAIR,ISP,33386,47.42,3637,70409,86301,81.5853814
110,GEN,RANNI,JACOB SKARIAH,IND,16136,32.83,SUNNY PANAVELY,IND,15559,31.66,577,49151,64065,76.72051822
111,GEN,SHERTHALA,A. K. ANTONY,INC,28419,48.77,N. P. THANDAR,CPM,28059,48.15,360,58274,68755,84.75601774
112,ST,SOUTH WYNAD,K. RAGHAVAN MASTER,INC,28337,58.53,M. RAMUNNI,SOP,16123,33.3,12214,48414,78954,61.31924918
113,GEN,SREEKRISHNAPURAM,C. GOVINDA PANICKER,CPM,21647,53.11,K. SUKUMARAN UNNI,INC,19114,46.89,2533,40761,65861,61.88943381
114,GEN,SUILON,T. K. DIVAKARAN,RSP,27220,52.33,P. K. SUKUMARAN,CPM,16119,30.99,11101,52017,77194,67.38477084
115,GEN,TALIPARAMBA,C. P. GOVINDAN NAMBIAR,INC,31435,43.96,K. P. RAGHAVA PODVVAL,CPM,30526,42.68,909,71516,94865,75.38712908
116,GEN,TANUR,SAYED UMMER BHAFAKI,MUL,35960,72.25,U.K. DAMODARAN,IND,13813,27.75,22147,49773,86079,57.82246541
117,GEN,TELLICHERRY,N. E. BALARAM,CPI,28171,46.11,T. KUNHANANDAN,IND,26711,43.72,1460,61091,79256,77.08059958
118,GEN,THIRUVALLA,E. JOHN JACOB,KEC,24938,43.41,VENGAL P K MATHEW,ISP,20426,35.56,4512,57442,74376,77.23190276
119,GEN,THODUPUZHA,P. J. JOSEPH,KEC,19750,39.42,U. K. CHACKO,IND,18115,36.16,1635,50098,62315,80.39476851
120,GEN,THRIPPUNITHURA,PAUL P MANI,INC,30466,48.71,T. K. RAMAKRISHAN,CPM,30106,48.13,360,62548,75994,82.30649788
121,GEN,TIRUR,K. M. KUTTY,MUL,28634,50.66,R. MUHAMMED,IND,24842,43.95,3792,56525,78650,71.86904005
122,GEN,TIRURANGADI,K. AVUKADARKUTTY NAHA,MUL,32608,50.3,KUNHALIKUTTY ALIAS,IND,31893,49.19,715,64830,85840,75.52423113
123,GEN,TRICHUR,JOSEPH MUNDASSERY,IND,25695,42.18,P. A. ANTONY,INC,23965,39.34,1730,60915,79933,76.20757384
124,SC,TRITHALA,V. EACHARAN,IND,25822,48.56,E. T. KUNHAN,CPM,24690,46.43,1132,53172,80084,66.39528495
125,GEN,TRIVANDRUM I,N. GOPALA PILLAI,PSP,23458,51.92,E. P. EAPEN,SOP,16306,36.09,7152,45184,80392,56.20459747
126,GEN,UDUMBANCHOLA,SEBASTIAN THOMAS,KEC,24917,36.69,V. M. VIKRAMAN,CPM,19296,28.41,5621,67921,110407,61.51874428
127,GEN,VADAKKEKARA,BALAUANDAN,CPM,32541,51.3,K. A. BALAN,CPI,29750,46.9,2791,63427,81307,78.00927349
128,GEN,VAIKOM,P. S. SRINIVASAN,CPI,25491,41.46,K. VISWANATHAN,IND,25028,40.7,463,61488,73217,83.98049633
129,GEN,VAMANAPURAM,M. KUNJUKRISHNA PILLAI,INC,23122,52.04,VASUDEVAN PILLAI,CPM,21305,47.96,1817,44427,64219,69.18046061
130,GEN,VARKALA,MAJID T. A.,CPI,26444,54.14,RADHAKRISHNAN V.,CPM,20630,42.24,5814,48841,70327,69.44843375
131,GEN,VAZHOOR,K. NARAYANA KURUP,KEC,20353,44.5,M. O. JOSEPH,IND,12157,26.58,8196,45740,61893,73.90173364
132,GEN,VILAPPIL,S. VARADARAJAN NAIR,INC,27932,53.65,M. N. BALAKRISHANAN,ISP,20919,40.18,7013,52064,78687,66.16594863
133,GEN,WADAKKANCHERRY,A. S. N. NAMBISAN,CPM,27066,47.05,N. K. SESHAN,PSP,25067,43.58,1999,57525,78184,73.57643508
