S.No,Type,Constituency,Winner Candidate,Winner Party.1,Winner Votes,Runner Up Candidate,Runner Up Party,Runner Up Votes,Margin,Valid Votes,Electors,Poll%
24,GEN,CHITTUR,K.A.S.BHARATHY,SSP,23985,A.S.SAHIB,INC,17174,6811,41159,66901,61.52224929
25,GEN,CRANGANORE,P . K . GOPALAKRISHNAN,CPI,26536,M . SAGIR,INC,23221,3315,51486,63402,81.2056402
26,SC,DEVICOLAM,N . GANAPATHY,INC,15895,G . VARATHAN,CPM,15607,288,35590,60139,59.17956734
27,GEN,EDAKKAD,C.KANNAN,CPM,32563,P.P.LAKSHMANAN,INC,22125,10438,55200,68392,80.71119429
28,GEN,ERAVIPURAM,R . S . UNNI,IND,31083,K . K . KRISHNAN,INC,17935,13148,49018,63658,77.002105
29,GEN,ERNAKULAM,A . PARAMBITHARA,INC,23270,K . A . RAJAN,CPI,22973,297,50970,68408,74.50882938
30,GEN,ETTUMANOOR,P . P . WILSON,SSP,20248,M . M . JOSEPH,KEC,16213,4035,49604,62263,79.66850296
31,GEN,GURUVAYUR,B.V.S.THANGAL,MUL,20986,A.A.KOCHUNNY,INC,20523,463,44783,60329,74.23129838
32,GEN,HARIPAD,C . B . C . WARRIER,CPM,28199,K . P . R . NAIR,INC,27079,1120,56653,71284,79.47505752
33,GEN,HOSDRUG,N.K.BALAKRISHNAN,SSP,25717,M.N.NAMBIAR,INC,16056,9661,46157,69031,66.86416248
34,GEN,IRIKKUR,E.P.K.NAMBIAR,CPM,31590,K.R. KARUNAKARAN,INC,16679,14911,48269,64245,75.13269515
35,GEN,IRINJALAKUDA,C.K.RAJAN,CPI,27151,R.POZHEKADAVIL,INC,23515,3636,50666,64954,78.00289436
36,GEN,KADUTHURUTHY,J . CHAZHIKATTU,KEC,18719,K . K . JOSEPH,CPM,16581,2138,47275,60223,78.49990867
37,GEN,KALLOOPPARA,G.THOMAS,INC,17267,N. T. GEORGE,CPM,13668,3599,44242,58804,75.23637848
38,GEN,KALPETTA,B.WELLINGDON,IND,23510,A.V.R.G.MENON,INC,11960,11550,37382,62477,59.83321862
39,GEN,KANJIRAPALLY,M . KAMAL,CPM,22681,C . J . ANTONY,KEC,14335,8346,44118,63283,69.7154054
40,GEN,KARIMANNOOR,M . M . THOMAS,IND,19070,A . C . CHACKO,KEC,12870,6200,39609,55477,71.39715558
41,GEN,KARUNAGAPALLY,B . JOHN,IND,32227,K . V . S . PANNIKAR,INC,20184,12043,55089,70677,77.9447345
42,GEN,KASARGOD,U.P.KUNIKULLAYA,IND,20635,H.A.SCHEMNAD,MUL,20540,95,45904,62364,73.60656789
43,GEN,KAYAMKULAM,P. K. KUNGU,SSP,27227,T . PRABHAKARAN,INC,23446,3781,52096,65857,79.10472691
44,GEN,KAZHAKUTTAM,M.H.SAHIB,MUL,22008,N.L.VAIDYAN,INC,20694,1314,48522,67464,71.92280327
45,SC,KILIMANOOR,C.K.BALAKRISHNAN,CPM,25932,K.P.MADHAVAN,INC,19422,6510,45354,61730,73.47156974
46,GEN,KODAKARA,P.S. NAMBOODIRI,CPI,24265,P.R. KRISHNAN,INC,15680,8585,46200,61293,75.37565464
47,GEN,KOLLENGODE,C.V.MENON,CPM,19779,GANGADHARAN,INC,14370,5409,38089,66001,57.70973167
48,GEN,KONDOTTY,S.U.BAFAKIH,MUL,33166,M.P.GANGADHARAN,INC,13874,19292,50171,71353,70.31379199
49,GEN,KONNI,P . P . R . M . PILLAI,CPI,24775,P . J . THOMAS,INC,21733,3042,48277,60198,80.19701651
50,GEN,KOTHAMANGALAM,T . M . MEETHIYAN,CPM,21210,M . I . MARKOSE,KEC,14822,6388,51229,61663,83.07899389
51,GEN,KOTTARAKARA,E . C . NAIR,CPI,24672,R . B . PILLAI,KEC,23112,1560,57995,67868,85.45264337
52,GEN,KOTTAYAM,M . K . GEORGE,CPM,25298,M . P. G . NAIR,INC,16188,9110,49242,61946,79.49181545
53,GEN,KOVALAM,J.C.MORAES,IND,18588,M.K.NADAR,INC,18191,397,38126,52716,72.32339328
54,GEN,KRISHNAPURAM,P . U . PILLAI,CPI,29134,M . K . HEMACHANDRAN,INC,18810,10324,49573,60344,82.15066949
55,GEN,KUNDARA,P . K . SUKUMARAN,CPM,28882,V . S . PILLAI,INC,23288,5594,57022,72634,78.50593386
56,GEN,KUNNAMANGALAM,V.K.NAIR,SSP,28773,K.P.PADMANABHAN,INC,13171,15602,46272,66825,69.24354658
57,GEN,KUNNAMKULAM,A.S.N.NAMBISSAN,CPM,27014,A.K.KUNHUNNY,INC,24930,2084,53415,69426,76.93803474
58,SC,KUNNATHUNAD,M . K . KRISHNAN,CPM,28083,K . K . MADHAVAN,INC,21203,6880,51645,67347,76.68493029
59,SC,KUNNATHUR,K . C . S . SASTRY,IND,26510,T . KESAVAN,INC,13559,12951,48102,65981,72.90280535
60,GEN,KUTHUPARAMBA,K.K.ABEE,SSP,28449,M.K.KRISHNAN,INC,17797,10652,48995,65563,74.72964934
61,GEN,KUTTANAD,K . K . K . PILLAI,IND,23797,T . JOHN,KEC,16633,7164,48938,64452,75.9293738
62,GEN,KUTTIPPURAM,C.M.KUTTY,MUL,28245,P.R.MENON,INC,10968,17277,39213,63929,61.33835974
63,SC,KUZHALMANNAM,O.KORAN,SSP,19138,E.KONTHA,INC,11452,7686,33142,68026,48.71960721
64,GEN,MADAYI,M.MANJURAN,IND,32974,P.KRISHNAN,INC,13862,19112,48690,64998,74.90999723
65,GEN,MALA,K.KARUNAKARAN,INC,23563,K.A.THOMAS,CPI,23199,364,46762,60472,77.32835031
66,GEN,MALAMPUZHA,M.P.KUNHIRAMAN,CPM,27454,A.NARAYANAN,INC,11585,15869,39039,65733,59.3902606
67,GEN,MALAPPURAM,M.P.M.A.KURIKKEL,MUL,32813,A.C.SHANMUGHADAS,INC,12094,20719,44907,67287,66.73948905
68,GEN,MANALUR,N.I.DEVASSYKUTTY,INC,26523,V.MECHERI,IND,26374,149,53962,65883,81.90580271
69,SC,MANJERI,M.CHADAYAN,MUL,23752,S.MARIAPPAN,INC,12636,11116,37313,62742,59.47053011
70,GEN,MANJESHWAR,K.M.BHANDARY,IND,23471,M.R.RAI,CPM,18690,4781,43141,61858,69.74198972
71,GEN,MANKADA,H.C.H.M.KOYA,MUL,29503,V.S.A.C.K.THANGAL,INC,4986,24517,36961,60772,60.81912723
72,GEN,MANNARGHAT,E.K.I.BAVA,CPM,20504,N.BALASUBRAMANYAN,INC,8608,11896,31428,64885,48.43646451
73,GEN,MARARIKULAM,S . DAMODARAN,CPM,30277,D . KRISHNAN,INC,18246,12031,53587,69482,77.12357157
74,GEN,MATTANCHERRY,M . P . M . JAFFERKHAN,MUL,28175,P . T . JACOB,INC,21763,6412,53655,72942,73.55844369
75,GEN,MAVELIKARA,G . G . PILLAI,SSP,26669,K . K . C . PILLAI,INC,23226,3443,52078,69134,75.32907108
76,GEN,MEPPAYUR,M.K.KELU,CPM,33365,C.K.KURUP,INC,15639,17726,49004,64101,76.44810533
77,GEN,MUVATTUPUZHA,P . V . ABRAHAM,CPI,21333,K . C . PAILY,INC,15400,5933,49756,63954,77.79966851
78,GEN,NADAPURAM,E.V.KUMARAN,CPM,31395,P.BALAKRISHNAN,INC,14936,16459,48925,66092,74.02560068
79,GEN,NARAKAL,A . S . PURUSHOTHAMAN,CPM,24616,K . C . ABRAHAM,INC,23474,1142,49848,59217,84.17852981
80,GEN,NATTIKA,T . K . KRISHNAN,CPM,27635,K . K . VISWANATHAN,INC,24634,3001,52269,64235,81.37152643
81,GEN,NEDUMANGAD,K.G.K.PALLAI,CPI,20584,S.V.NAIR,INC,14931,5653,39236,54453,72.05479955
82,GEN,NEMOM,M.SADASIVAN,CPM,22800,P.N.NAIR,INC,19764,3036,43833,63695,68.8170186
83,GEN,NEYYATINKARA,R.G.NAIR,INC,24038,M.SATHIANESAN,CPM,22839,1199,46877,63701,73.58911163
84,GEN,NILAMBUR,K.KUNHALI,CPM,25215,A.MOHAMED,INC,15426,9789,40641,62741,64.77582442
85,GEN,NILESWAR,V.V.KUNHAMBU,CPM,34496,T.P.G.NAMBOODIRI,INC,12909,21587,48833,70718,69.05314064
86,ST,NORTH WYNAD,K.K.ANNAN,CPM,19983,C.M.KULIAN,INC,14970,5013,34953,61491,56.84246475
87,GEN,OLLUR,A.V.ARYAN,CPM,24569,P.P.FRANCIS,INC,24421,148,50015,63890,78.28298638
88,GEN,OTTAPALAM,P.P.KRISHNAN,CPM,21086,M.N.KURUP,INC,13123,7963,34209,62097,55.08961786
89,GEN,PALAI,K . M . MANI,KEC,19118,V . T . THOMAS,IND,16407,2711,49028,62004,79.07231791
90,GEN,PALGHAT,R.KRISHNAN,CPM,24627,K.SANKARANAYAYANAN,INC,14996,9631,45494,69273,65.67349472
91,GEN,PALIURUTHY,P . GANGADHARAN,CPM,24779,A . L . JACOB,INC,23395,1384,50488,63073,80.04692975
92,SC,PANDALAM,P . K . KUNJACHAN,CPM,27740,T . K . KALI,INC,22825,4915,53074,69408,76.46668972
93,GEN,PARASSALA,N.GAMALIEL,INC,23299,V.TITUS,IND,17095,6204,40394,59976,67.35027344
94,GEN,PARUR,K . T . GEORGE,INC,17418,V . PAINADAN,IND,13719,3699,45569,59497,76.59041632
95,GEN,PATHANAMTHITTA,K . K . NAIR,IND,26351,V . IDICULA,KEC,16208,10143,53575,67830,78.98422527
96,SC,PATHANAPURAM,P . K . RAGHWAN,CPI,23401,P . K . RAMACHANDRADAS,INC,11520,11881,41477,58586,70.79677739
97,GEN,PATTAMBI,E.M.S.NAMBOODIRIPAD,CPM,23955,K.G.MENON,INC,11838,12117,40024,62318,64.22542444
98,GEN,PAYYANNUR,A.V.KUNHABGU,CPM,29835,V.T.N.PODUVAL,INC,14774,15061,47006,65140,72.16149831
99,SC,PEERMADE,K . I . RAJAN,CPM,18934,RAMIAH,INC,12199,6735,36364,63987,56.83029365
100,GEN,PERINGALAM,P.R.KURUP,SSP,38701,N.M.NAMBIAR,INC,13034,25667,51735,68245,75.80775148
101,GEN,PERINTALMANNA,P.M.KUTTY,CPM,24285,P.M.SADIO,INC,7513,16772,31798,62593,50.8012078
102,GEN,PERMBRA,V.V.D.MOORTHY,CPM,30307,K.T.K.NAIR,INC,18784,11523,51678,68708,75.21394889
103,GEN,PERUMBAVOOR,P . G . PILLAI,CPM,23161,K . G . R . KARTHA,INC,17996,5165,47125,60438,77.97246765
104,GEN,PONNANI,V.P.C.THANGAL,MUL,30251,K.G.K.MENON,INC,16430,13821,49083,69230,70.89845443
105,GEN,POONJAR,K . M . GEORGE,KEC,19944,K . K . MENON,CPM,16386,3558,41946,58410,71.81304571
106,GEN,PUNALOOR,M . N . G . NAIR,CPI,23931,P . C . BABY,INC,18794,5137,45491,58138,78.24658571
107,GEN,PUTHUPALLY,E . M . GEORGE,CPM,22589,P . C . CHERIYAN,INC,17037,5552,46575,59794,77.89243068
108,GEN,QUILANDY,P.K.KIDAVE,SSP,32390,K.GOPALAN,INC,23375,9015,57958,72950,79.44893763
109,GEN,QUILON,T . K . DIVAKARAN,IND,29075,H . AUSTIN,INC,19324,9751,51127,66963,76.35111927
110,GEN,RANNI,M . K . DIVAKARAN,CPI,18628,N . J . MATHEWS,INC,12795,5833,42727,61397,69.59134811
111,GEN,SHERTHALA,N . P . THANDAR,CPM,23350,K . R . DAMODARAN,INC,15491,7859,47151,58658,80.38289747
112,ST,SOUTH WYNAD,M.RAMUNNI,SSP,20220,M.C.MARU,INC,14610,5610,34830,63715,54.66530644
113,GEN,SREEKRISHNAPURAM,C.G.PANICKER,CPM,18762,K.R.NAIR,INC,9510,9252,28272,56666,49.89235167
114,GEN,TALIPARAMBA,K.P.R.PODUVAL,CPM,31508,N.C.VARGHESE,INC,22233,9275,55855,73221,76.28276041
115,GEN,TANUR,M.M.K.HAJI,MUL,29219,T.A.KUTTY,INC,10491,18728,43955,70948,61.95382534
116,GEN,TELLICHERRY,K.P.R.GOPALAN,CPM,34612,P.NANOO,INC,21772,12840,56384,70992,79.42303358
117,GEN,THIRUVALLA,E . J. JACOB,KEC,18970,P . K . MATHEW,SSP,16992,1978,50787,66681,76.16412471
118,GEN,THODUPUZHA,K . C . ZACHARIAH,IND,18780,E . M . JOSEPH,KEC,17286,1494,42690,54353,78.54212279
119,GEN,THRIPPUNITHURA,T . K . RAMAKRISHNAN,CPM,27435,P . P . MANI,INC,25976,1459,56137,67390,83.30167681
120,GEN,TIRUR,K.M.K.HAJI,MUL,28558,R.MUHAMED,INC,18527,10031,47085,65218,72.19632617
121,GEN,TIRURANGADI,A.K.N.LAJI,MUL,29267,T.P.K.KUTTY,INC,19599,9668,50928,68606,74.23257441
122,GEN,TRICHUR,K.S.NAIR,CPM,26149,T.P.SEETHARAMAN,INC,25547,602,53673,69369,77.37317822
123,SC,TRITHALA,E.T.KUNHAN,CPM,24119,K.KUNHAMBU,INC,14485,9634,40686,67341,60.41787321
124,GEN,TRIVANDRUM I,B.M.NAIR,SSP,22152,M.N.G.NAIR,INC,19931,2221,43841,71761,61.09307284
125,GEN,TRIVANDRUM II,K.C.VAMADEVAN,IND,27806,W.SEBASTIAN,INC,21744,6062,51792,79963,64.7699561
126,GEN,UDUMBANCHOLA,K . T . JACOB,CPI,28085,MATHACHAN,KEC,19021,9064,53261,85709,62.1416654
127,GEN,VADAKKEKARA,E . BALANANDAN,CPM,28234,K . R . VIJAYAN,INC,27601,633,55835,69710,80.09611247
128,GEN,VAIKOM,P . S . SRINIVASAN,CPI,28502,P . PARAMESWARAN,INC,19043,9459,51972,63239,82.18346274
129,GEN,VAMANAPURAM,N.V.PILLAI,CPM,24270,M.K.PILLAI,INC,16305,7965,40575,53695,75.56569513
130,GEN,VARKALA,A . MAJID,CPI,24796,S . HAMEED,INC,17885,6911,42681,56757,75.19953486
131,GEN,VAZHOOR,K . P . PILLAI,CPI,19789,K . N . KURUP,KEC,14760,5029,40890,54784,74.63858061
132,GEN,VILAPPIL,C.S.N.NAIR,SSP,25104,M.B.NAIR,INC,21128,3976,47166,65403,72.11595798
133,GEN,WADAKKANCHERRY,N.K.SESHAN,SSP,23857,K.S.N.NAMBOODIRI,INC,22173,1684,48091,65497,73.42473701
